Date;Asset;Open;High;Low;Close; Volume ;Decision;OpenInterest
19/08/2022;ICFFUT;257,6;259,15;254,5;258,1; R$63.623.380,24 ;Buy;5329
18/08/2022;ICFFUT;261,75;264,7;256,5;257,65; R$77.465.708,11 ;Buy;5848
17/08/2022;ICFFUT;263;263,95;258,3;261,5; R$69.322.389,76 ;Buy;5329
16/08/2022;ICFFUT;267,35;268,5;262,4;263,5; R$58.332.217,69 ;Buy;5903
15/08/2022;ICFFUT;267,2;268,1;262,4;268,1; R$45.150.025,81 ;Buy;5756
12/08/2022;ICFFUT;264,1;269;262,05;267,2; R$66.200.928,62 ;Buy;2514
11/08/2022;ICFFUT;262,25;265,05;256,7;263,85; R$67.306.004,22 ;Buy;2514
10/08/2022;ICFFUT;255,55;263,1;254,8;261,5; R$100.378.851,37 ;Buy;3312
09/08/2022;ICFFUT;254,9;256,45;251,64;254,75; R$75.853.057,32 ;Buy;2736
08/08/2022;ICFFUT;253,99;258,85;253,14;255,05; R$73.699.036,41 ;Neutral;3002
05/08/2022;ICFFUT;263,05;263,05;252,24;252,54; R$106.171.054,05 ;Neutral;3315
04/08/2022;ICFFUT;258,85;263,8;257,55;263,05; R$83.887.796,93 ;Neutral;3476
03/08/2022;ICFFUT;252,84;261;252,39;258,7; R$345.189.552,82 ;Neutral;3315
02/08/2022;ICFFUT;257,1;258,1;250,59;253,19; R$93.918.642,54 ;Neutral;3979
01/08/2022;ICFFUT;262;267,15;256,1;257,05; R$89.400.818,09 ;Neutral;3885
29/07/2022;ICFFUT;263,1;264,15;256,45;262,05; R$59.111.817,04 ;Neutral;3876
28/07/2022;ICFFUT;263,65;264,1;258,4;263,65; R$79.462.718,71 ;Neutral;4223
27/07/2022;ICFFUT;257,65;264,95;257,1;262,8; R$82.402.704,00 ;Neutral;3876
26/07/2022;ICFFUT;254,8;260,05;254,19;257,85; R$46.793.666,20 ;Neutral;3793
25/07/2022;ICFFUT;250,89;256,5;250,69;254,54; R$58.453.611,65 ;Neutral;3823
22/07/2022;ICFFUT;260,6;263,1;249,74;250,24; R$72.774.081,23 ;Neutral;4223
21/07/2022;ICFFUT;263,1;264,9;257,85;261,1; R$45.234.278,56 ;Neutral;4223
20/07/2022;ICFFUT;261,65;265,1;260,1;262,9; R$66.765.965,58 ;Neutral;4731
19/07/2022;ICFFUT;261,3;263,85;259,55;262,15; R$64.947.815,67 ;Buy;4263
18/07/2022;ICFFUT;243,84;263,05;243,14;261,8; R$136.445.418,00 ;Buy;4376
15/07/2022;ICFFUT;238,59;246,24;236,09;243,09; R$78.543.404,28 ;Buy;4809
14/07/2022;ICFFUT;255,1;255,2;237,59;237,89; R$101.378.444,20 ;Buy;4585
13/07/2022;ICFFUT;253,89;257,6;252,19;255; R$78.256.182,77 ;Sell;4809
12/07/2022;ICFFUT;262,9;264,7;251,64;253,84; R$138.799.006,00 ;Sell;4806
11/07/2022;ICFFUT;269,4;270,1;261,05;262,8; R$117.504.609,38 ;Sell;4847
08/07/2022;ICFFUT;268,85;271,35;264,2;268,85; R$85.708.893,06 ;Sell;4635
07/07/2022;ICFFUT;269,75;275,05;267,7;268,75; R$112.280.507,02 ;Sell;4527
06/07/2022;ICFFUT;272,1;275,1;268,3;269,75; R$106.130.277,94 ;Sell;4635
05/07/2022;ICFFUT;279,05;279,55;271,5;271,85; R$128.528.307,86 ;Sell;4621
04/07/2022;ICFFUT;277,8;278,75;274,2;278,2; R$22.062.919,12 ;Sell;4423
01/07/2022;ICFFUT;284,61;289,01;276,1;276,3; R$100.711.567,35 ;Sell;4476
30/06/2022;ICFFUT;281;284,51;279,75;284,11; R$89.947.053,37 ;Sell;4476
29/06/2022;ICFFUT;270,8;284,81;270,6;279,25; R$165.787.622,67 ;Sell;4178
28/06/2022;ICFFUT;276,65;276,65;270,4;270,8; R$80.702.123,50 ;Sell;4604
27/06/2022;ICFFUT;277,5;278,1;273,85;276,2; R$62.333.466,60 ;Sell;4641
24/06/2022;ICFFUT;284,26;286,41;276;277,1; R$140.059.396,52 ;Sell;4178
23/06/2022;ICFFUT;291,61;291,61;283,11;284,21; R$127.675.724,46 ;Sell;4178
22/06/2022;ICFFUT;288,01;292,66;287,46;292,11; R$86.066.352,27 ;Sell;4205
21/06/2022;ICFFUT;281,81;290,71;281,51;288,01; R$136.230.899,79 ;Sell;4113
20/06/2022;ICFFUT;281,66;283,36;280,45;281,71; R$9.827.373,47 ;Sell;4099
17/06/2022;ICFFUT;283,91;289,06;281,51;281,51; R$112.978.005,44 ;Sell;4016
15/06/2022;ICFFUT;281,35;284,91;278,6;283,91; R$71.707.614,49 ;Sell;4082
14/06/2022;ICFFUT;280;285,11;277,8;281,86; R$92.488.445,22 ;Sell;4082
13/06/2022;ICFFUT;285,11;285,96;273,2;280,5; R$112.106.509,39 ;Sell;4207
10/06/2022;ICFFUT;292,91;292,91;284,11;284,91; R$99.958.657,88 ;Sell;4207
09/06/2022;ICFFUT;288,46;293,11;288,41;292,81; R$49.824.116,73 ;Sell;4172
08/06/2022;ICFFUT;290,51;292,56;286,61;288,91; R$65.285.945,40 ;Sell;4207
07/06/2022;ICFFUT;293,81;295,91;288,11;290,76; R$71.706.114,31 ;Sell;4318
06/06/2022;ICFFUT;288,46;297,11;288,46;293,81; R$85.115.743,43 ;Sell;4203
03/06/2022;ICFFUT;295,06;298,61;288,11;288,46; R$97.728.436,72 ;Sell;4511
02/06/2022;ICFFUT;295,21;300,81;294,51;295,11; R$108.298.831,96 ;Sell;4511
01/06/2022;ICFFUT;287,61;296,66;287,31;296,06; R$113.090.148,26 ;Buy;4531
31/05/2022;ICFFUT;284,46;289,86;279,2;288,01; R$83.100.579,87 ;Buy;4390
30/05/2022;ICFFUT;284,61;285,61;282,96;284,41; R$14.656.697,31 ;Buy;4392
27/05/2022;ICFFUT;280,35;285,51;278,2;285,01; R$65.335.345,15 ;Buy;4414
26/05/2022;ICFFUT;276,05;281,66;271,6;280,6; R$130.935.644,94 ;Buy;4414
25/05/2022;ICFFUT;267,1;272,05;265,2;271,8; R$57.628.030,19 ;Buy;4486
24/05/2022;ICFFUT;270;270,1;263,8;266,8; R$55.484.256,20 ;Buy;4518
23/05/2022;ICFFUT;271,55;272,3;268,5;268,95; R$30.457.866,17 ;Sell;4545
20/05/2022;ICFFUT;273,35;274;268,15;270,95; R$52.447.865,30 ;Sell;4435
19/05/2022;ICFFUT;271,6;273,9;267;273,9; R$62.196.240,90 ;Sell;4225
18/05/2022;ICFFUT;283,61;285,01;269,4;271,9; R$121.993.546,79 ;Sell;4435
17/05/2022;ICFFUT;279,1;285,11;277,1;283,91; R$93.821.047,20 ;Sell;4369
16/05/2022;ICFFUT;266,15;281,56;266,15;278,5; R$84.410.433,76 ;Buy;4282
13/05/2022;ICFFUT;267,95;270,1;261,4;267,15; R$53.234.406,89 ;Buy;4221
12/05/2022;ICFFUT;272,05;272,85;264,35;267,85; R$60.675.982,02 ;Buy;4221
11/05/2022;ICFFUT;253,84;273,95;253,84;272,05; R$128.044.571,46 ;Buy;4446
10/05/2022;ICFFUT;255,1;256,2;251,14;253,29; R$37.644.293,25 ;Buy;4293
09/05/2022;ICFFUT;262,5;263,05;253,09;255,1; R$67.859.698,47 ;Sell;4507
06/05/2022;ICFFUT;269,75;270,9;261,2;262,4; R$102.024.146,34 ;Sell;4590
05/05/2022;ICFFUT;273,6;277,25;269,5;269,5; R$73.288.955,27 ;Sell;4543
04/05/2022;ICFFUT;270,3;274,8;270,3;273,25; R$59.642.919,77 ;Sell;4590
03/05/2022;ICFFUT;268,7;274,4;268,6;270,1; R$64.085.078,38 ;Sell;4480
02/05/2022;ICFFUT;276,2;276,35;267,8;268,15; R$85.307.385,03 ;Sell;4626
29/04/2022;ICFFUT;269,6;278,1;269,55;276,2; R$72.170.311,69 ;Sell;4572
28/04/2022;ICFFUT;267,4;270,6;265,95;269,1; R$60.585.636,79 ;Sell;4640
27/04/2022;ICFFUT;274;275,8;267,2;267,4; R$83.503.224,38 ;Sell;4572
26/04/2022;ICFFUT;275,65;277,6;272,75;274,05; R$59.046.464,76 ;Sell;4587
25/04/2022;ICFFUT;280,1;280,1;274,1;276; R$48.863.083,41 ;Sell;4625
22/04/2022;ICFFUT;272,85;285,01;272,8;280,65; R$109.239.049,34 ;Sell;4587
20/04/2022;ICFFUT;277,7;278,5;272,2;272,55; R$63.357.957,83 ;Sell;4579
19/04/2022;ICFFUT;278,95;280,1;275,1;277,1; R$32.523.243,38 ;Sell;4579
18/04/2022;ICFFUT;278,9;280,8;273,5;278,7; R$56.989.303,05 ;Sell;4594
14/04/2022;ICFFUT;281,61;284,11;276,15;278,6; R$70.315.694,45 ;Sell;4585
13/04/2022;ICFFUT;291,11;292,06;281,25;281,25; R$110.008.758,60 ;Sell;4585
12/04/2022;ICFFUT;293,26;294,36;290,91;291,61; R$42.745.090,24 ;Sell;4398
11/04/2022;ICFFUT;286,96;293,86;286,81;293,31; R$51.382.960,50 ;Sell;4550
08/04/2022;ICFFUT;280,8;288,06;280,8;287,81; R$97.006.019,03 ;Buy;4550
07/04/2022;ICFFUT;283,21;284,81;279,15;281,25; R$60.608.756,49 ;Buy;4508
06/04/2022;ICFFUT;287,11;287,81;280,65;283,11; R$60.153.892,98 ;Buy;4550
05/04/2022;ICFFUT;287,36;289,31;285,11;287,51; R$45.489.537,21 ;Buy;4525
04/04/2022;ICFFUT;284,61;288,06;283,41;287,41; R$46.883.986,30 ;Buy;4485
01/04/2022;ICFFUT;281,66;286,11;281,61;283,86; R$48.551.391,37 ;Buy;4528
31/03/2022;ICFFUT;276,1;282,86;276,1;281,66; R$54.752.525,86 ;Buy;4616
30/03/2022;ICFFUT;268,55;276,95;268,15;276,45; R$63.841.843,44 ;Buy;4528
29/03/2022;ICFFUT;268,1;270,55;266,75;268,1; R$28.432.013,60 ;Buy;4594
28/03/2022;ICFFUT;276,05;276,95;266,6;268,1; R$39.917.408,67 ;Sell;4698
25/03/2022;ICFFUT;275,55;277;274,1;276,1; R$30.433.109,62 ;Sell;4616
24/03/2022;ICFFUT;280,1;280,65;273,6;275,3; R$36.523.930,17 ;Sell;4616
23/03/2022;ICFFUT;277,35;281,71;277,15;279,6; R$49.710.671,40 ;Sell;4517
22/03/2022;ICFFUT;277,5;281,1;276,45;277,1; R$44.269.041,23 ;Buy;4494
21/03/2022;ICFFUT;270,35;277,6;270;277,55; R$55.440.810,87 ;Buy;4532
18/03/2022;ICFFUT;266,85;272,05;265,3;270,05; R$46.777.358,42 ;Buy;4589
